"filename", "language", "JavaScript", "CSS", "JavaScript JSX", "XML", "Markdown", "JSON", "Properties", "Django HTML", "comment", "blank", "total"
"c:\Users\Quan\Documents\Temp\kltn_fe\.env", "Properties", 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 3
"c:\Users\Quan\Documents\Temp\kltn_fe\README.md", "Markdown", 0, 0, 0, 0, 38, 0, 0, 0, 0, 33, 71
"c:\Users\Quan\Documents\Temp\kltn_fe\package.json", "JSON", 0, 0, 0, 0, 0, 47, 0, 0, 0, 1, 48
"c:\Users\Quan\Documents\Temp\kltn_fe\public\index.html", "Django HTML", 0, 0, 0, 0, 0, 0, 0, 40, 0, 4, 44
"c:\Users\Quan\Documents\Temp\kltn_fe\public\manifest.json", "JSON", 0, 0, 0, 0, 0, 25, 0, 0, 0, 1, 26
"c:\Users\Quan\Documents\Temp\kltn_fe\src\App.css", "CSS", 0, 33, 0, 0, 0, 0, 0, 0, 0, 6, 39
"c:\Users\Quan\Documents\Temp\kltn_fe\src\App.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 10, 5, 35
"c:\Users\Quan\Documents\Temp\kltn_fe\src\App.test.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\Quan\Documents\Temp\kltn_fe\src\components\Header\header.jsx", "JavaScript JSX", 0, 0, 110, 0, 0, 0, 0, 0, 6, 4, 120
"c:\Users\Quan\Documents\Temp\kltn_fe\src\components\Header\header.module.css", "CSS", 0, 9, 0, 0, 0, 0, 0, 0, 4, 2, 15
"c:\Users\Quan\Documents\Temp\kltn_fe\src\components\ImageChoice\imageChoice.jsx", "JavaScript JSX", 0, 0, 194, 0, 0, 0, 0, 0, 15, 6, 215
"c:\Users\Quan\Documents\Temp\kltn_fe\src\components\ImageChoice\imageChoice.module.css", "CSS", 0, 14, 0, 0, 0, 0, 0, 0, 3, 3, 20
"c:\Users\Quan\Documents\Temp\kltn_fe\src\components\Product\product.jsx", "JavaScript JSX", 0, 0, 116, 0, 0, 0, 0, 0, 13, 11, 140
"c:\Users\Quan\Documents\Temp\kltn_fe\src\components\Product\product.module.css", "CSS", 0, 9, 0, 0, 0, 0, 0, 0, 1, 2, 12
"c:\Users\Quan\Documents\Temp\kltn_fe\src\index.css", "CSS", 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\Quan\Documents\Temp\kltn_fe\src\index.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 6, 5, 26
"c:\Users\Quan\Documents\Temp\kltn_fe\src\layouts\HomeLayout\homeLayout.jsx", "JavaScript JSX", 0, 0, 24, 0, 0, 0, 0, 0, 15, 4, 43
"c:\Users\Quan\Documents\Temp\kltn_fe\src\layouts\HomeLayout\homeLayout.module.css", "CSS", 0, 19, 0, 0, 0, 0, 0, 0, 24, 4, 47
"c:\Users\Quan\Documents\Temp\kltn_fe\src\logo.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Quan\Documents\Temp\kltn_fe\src\pages\FindSimilarPage\findSimilarPage.jsx", "JavaScript JSX", 0, 0, 132, 0, 0, 0, 0, 0, 13, 8, 153
"c:\Users\Quan\Documents\Temp\kltn_fe\src\pages\FindSimilarPage\findSimilarPage.module.css", "CSS", 0, 11, 0, 0, 0, 0, 0, 0, 24, 3, 38
"c:\Users\Quan\Documents\Temp\kltn_fe\src\pages\HomePage\homePage.jsx", "JavaScript JSX", 0, 0, 353, 0, 0, 0, 0, 0, 27, 21, 401
"c:\Users\Quan\Documents\Temp\kltn_fe\src\pages\HomePage\homePage.module.css", "CSS", 0, 11, 0, 0, 0, 0, 0, 0, 24, 3, 38
"c:\Users\Quan\Documents\Temp\kltn_fe\src\pages\SearchAdvancePage\searchAdvance.jsx", "JavaScript JSX", 0, 0, 21, 0, 0, 0, 0, 0, 0, 3, 24
"c:\Users\Quan\Documents\Temp\kltn_fe\src\pages\SearchAdvancePage\searchAdvance.module.css", "CSS", 0, 14, 0, 0, 0, 0, 0, 0, 21, 3, 38
"c:\Users\Quan\Documents\Temp\kltn_fe\src\pages\TestPage\testPage.jsx", "JavaScript JSX", 0, 0, 158, 0, 0, 0, 0, 0, 3, 8, 169
"c:\Users\Quan\Documents\Temp\kltn_fe\src\pages\TestPage\testPage.module.css", "CSS", 0, 22, 0, 0, 0, 0, 0, 0, 21, 5, 48
"c:\Users\Quan\Documents\Temp\kltn_fe\src\reportWebVitals.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\Quan\Documents\Temp\kltn_fe\src\services\category.service.js", "JavaScript", 54, 0, 0, 0, 0, 0, 0, 0, 4, 9, 67
"c:\Users\Quan\Documents\Temp\kltn_fe\src\services\product.service.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 0, 3, 4, 39
"c:\Users\Quan\Documents\Temp\kltn_fe\src\services\test.service.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 0, 4, 3, 42
"c:\Users\Quan\Documents\Temp\kltn_fe\src\setupTests.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 4, 1, 6
"Total", "-", 176, 154, 1108, 1, 38, 72, 2, 40, 245, 169, 2005
